Item Id,Item Name,Price,Sales,Shop Name,Commission,Rate,Commission,Product Link,Offer Link,imagem
"1onCsCm","Devocional Café Com Deus Pai Porções Diárias De Amor Junior Rostirola Edição 2026","R$ 67,77","| +50mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/1onCsCm","https://mercadolivre.com/sec/1onCsCm","https://http2.mlstatic.com/D_Q_NP_2X_997543-MLA93078667256_092025-AB.webp"
"18w7Sej","Ventilador Bvt301 Tecnologia Maxx Force 3 Velocidades 60w Britânia 110v","R$ 129,95","| +50mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/18w7Sej","https://mercadolivre.com/sec/18w7Sej","https://http2.mlstatic.com/D_Q_NP_2X_666620-MLA99993261819_112025-AB.webp"
"2Pkk4D3","Câmera De Segurança Externa 360° Wi-fi Tp-link Full Hd Tapo C500 Com Pan/tilt","R$ 277,14","| +10mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/2Pkk4D3","https://mercadolivre.com/sec/2Pkk4D3","https://http2.mlstatic.com/D_Q_NP_2X_692199-MLA99955989399_112025-AB.webp"
"13bNBs2","Ventilador Coluna Arno 7 Pás Turbo Silencioso 40cm Estrutura Preto Pás Azul Diâmetro 40 Cm Frequência 60 Hz Material Das Pás Plástico","R$ 359","| +1000 vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/13bNBs2","https://mercadolivre.com/sec/13bNBs2","https://http2.mlstatic.com/D_Q_NP_2X_864340-MLA79811908488_102024-AB.webp"
"2LaS9oi","Barra De Proteína Crisp Bar Ovomaltine 12 Unidades Integralmédica","R$ 79,69","| +50mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/2LaS9oi","https://mercadolivre.com/sec/2LaS9oi","https://http2.mlstatic.com/D_Q_NP_2X_729089-MLA99448469320_112025-AB.webp"
"2vEnagR","Brastoy Bebê Reborn Bonecas Realista De Silicone Menina 48 Cm","R$ 154,99","| +10mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/2vEnagR","https://mercadolivre.com/sec/2vEnagR","https://http2.mlstatic.com/D_Q_NP_2X_629639-MLA95710313416_102025-AB.webp"
"1Z4s71P","Bicicleta Ergométrica Spinning Mecanica Roda Inércia 13kg Sprint Odin Fit","R$ 1.530","| +5mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/1Z4s71P","https://mercadolivre.com/sec/1Z4s71P","https://http2.mlstatic.com/D_Q_NP_2X_988024-MLA100019113485_122025-AB.webp"
"1WvXHmb","Samsung Vision Ai Tv 50  Qled Ultra 4k Qef1 2025","R$ 2.359","| +5mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/1WvXHmb","https://mercadolivre.com/sec/1WvXHmb","https://http2.mlstatic.com/D_Q_NP_2X_769522-MLA99974455117_112025-AB.webp"
"1JiEkuo","Tablet Positivo Vision Tab 10 4gb Ram 128gb Armazenamento, Octa-core, 13mp + Selfie 5mp, Bateria 6000mah, Tela 10.1 Hd, Wifi Ac E 4g, Full Lamination","R$ 749","| +10mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/1JiEkuo","https://mercadolivre.com/sec/1JiEkuo","https://http2.mlstatic.com/D_Q_NP_2X_892632-MLA99942935053_112025-AB.webp"
"2AXBhFL","Forno Elétrico Philco 44l Preto Dupla Resistência Pfe44p 127v","R$ 351,71","| +10mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/2AXBhFL","https://mercadolivre.com/sec/2AXBhFL","https://http2.mlstatic.com/D_Q_NP_2X_917313-MLA84857986893_052025-AB.webp"
