Item Id,Item Name,Price,Sales,Shop Name,Commission,Rate,Commission,Product Link,Offer Link,imagem
"13DV82sG2","Espremedor Laranja Frutas Suco Mini Automático Elétrico - 3XZ LOJA","R$ 59,99","10mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/13DV82sG2","https://s.shopee.com.br/13DV82sG2","https://down-tx-br.img.susercontent.com/br-11134207-7r98s-lmf0j7v86x4b4c.webp"
"50RtSKEZLA","Kit Panos de Prato Estampados 100% Algodão com Bainha – Atacado e Varejo Econômico","R$ 19,07","60mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/50RtSKEZLA","https://s.shopee.com.br/50RtSKEZLA","https://down-tx-br.img.susercontent.com/br-11134207-81z1k-mgu835p1li4gf2.webp"
"3LJfTGpiBf","Seladora à Vácuo para Armazenar Alimentos Domésticos Embaladora a Vácuo","R$ 36,99","9mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/3LJfTGpiBf","https://s.shopee.com.br/3LJfTGpiBf","https://down-tx-br.img.susercontent.com/8219f7187cf57c3b509f276fea512aea.webp"
"9fDj0uwT4n","KIT COMPLETO MASCARA + SHAMPOO + CONDICIONADOR  KARSEELL ORIGINAL MACA POWER COLLAGEN ORIGINAL IMPORTADO Karseell .!!!!!","R$ 48,99","10mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/9fDj0uwT4n","https://s.shopee.com.br/9fDj0uwT4n","https://down-tx-br.img.susercontent.com/br-11134207-7r98o-lypq55fxs8lxa8.webp"
"20oHspuNqm","Cafeteira elétrica 2 xícaras vermelha Smart Coffee - C-42-2X-RI - Mondial","R$ 115,90","6mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/20oHspuNqm","https://s.shopee.com.br/20oHspuNqm","https://down-tx-br.img.susercontent.com/sg-11134201-822x7-mhzcn9gmc2yw06.webp"
"7V9EQx4JQr","Varal De Chão Roupa Calcinha Prateleiras 3 Andares Dobrável Portátil","R$ 69,96","40mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/7V9EQx4JQr","https://s.shopee.com.br/7V9EQx4JQr","https://down-tx-br.img.susercontent.com/br-11134207-7r98o-lx9qolhaesnm1a.webp"
"5VOA3Hgixp","kit 12 peças utensílios de cozinha silicone Copo Suporte Jogo de Cozinha kit 5 utensílios s/copo","R$ 21,99","10mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/5VOA3Hgixp","https://s.shopee.com.br/5VOA3Hgixp","https://down-tx-br.img.susercontent.com/br-11134207-81z1k-mg9g7vgrwg00aa.webp"
"2VkYTm9fvK","Máscara Banho De Verniz Forever Liss 1Kg","R$ 69,90","10mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/2VkYTm9fvK","https://s.shopee.com.br/2VkYTm9fvK","https://down-tx-br.img.susercontent.com/br-11134207-7r98o-m0d4no4xycn5ca.webp"
"8KiLQVZvxL","Fritadeira Air Fryer Forno Oven 12L Mondial AFON-12L-BI 2000W Sem Oléo","R$ 579,90","2mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/8KiLQVZvxL","https://s.shopee.com.br/8KiLQVZvxL","https://down-tx-br.img.susercontent.com/br-11134207-81z1k-mfs85ad5hslj9a.webp"
"70Cxq49jsW","Kit 3 Body Decote Quadrado Feminino Tecido Suplex Moda Tendência Premium","R$ 25,48","10mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/70Cxq49jsW","https://s.shopee.com.br/70Cxq49jsW","https://down-tx-br.img.susercontent.com/br-11134207-81z1k-med7mpk4gbupe0.webp"
